City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kununurra,0,AU,1562307719,9,-15.77,128.74,29,2.6
Teguise,40,ES,1562307721,88,29.06,-13.56,19,3.6
Brigantine,40,US,1562307722,94,39.41,-74.36,25,2.1
Chapais,1,CA,1562307723,68,49.78,-74.86,21,2.6
Aasiaat,100,GL,1562307724,94,68.71,-52.87,4.54,3.16
Dondo,20,MZ,1562307726,88,-19.62,34.74,18,2.6
Ossora,86,RU,1562307727,61,59.24,163.07,17.84,2.65
Coihaique,75,CL,1562307728,99,-45.58,-72.07,3,3.1
Biltine,78,TD,1562307729,52,14.53,20.93,28.94,4.63
Kadi,75,IN,1562307731,74,23.3,72.33,30,4.1
Coahuayana,98,MX,1562307732,83,18.62,-100.35,23.14,1.18
Lewistown,1,US,1562307733,94,40.39,-90.15,24,1.5
College,90,US,1562307735,60,64.86,-147.8,20,1.5
Alta Floresta,13,BR,1562307736,75,-9.87,-56.08,21.34,0.21
Solnechnyy,65,RU,1562307737,40,50.72,136.64,29.04,0.37
Ferme-Neuve,28,CA,1562307739,85,46.7,-75.45,17.54,1.12
Valencia,20,ES,1562307665,68,39.47,-0.38,25.56,1
Beloha,2,MG,1562307741,67,-25.17,45.06,19.84,2.2
Khani,75,GE,1562307742,78,41.96,42.96,24,1
Ongandjera,0,,1562307744,26,-17.88,15.07,11.14,3.6
Isangel,75,VU,1562307745,78,-19.55,169.27,26,8.04
Barranca,22,PE,1562307746,85,-10.75,-77.76,16.74,6.46
Trelew,46,AR,1562307747,67,-43.25,-65.31,-0.26,3.42
Zanesville,1,US,1562307501,88,39.94,-82.01,23,1.32
Cap Malheureux,40,MU,1562307750,73,-19.98,57.61,24.44,3.6
Mundra,23,IN,1562307751,52,22.84,69.73,33.04,9.28
Dunnville,20,CA,1562307752,100,42.9,-79.62,24.44,2.1
Flinders,90,AU,1562307754,72,-34.58,150.85,17.22,3.6
Arcos,99,BR,1562307755,88,-20.28,-45.54,16.64,0.57
Rio Bananal,33,BR,1562307756,85,-19.26,-40.34,20.14,1.02
Caxito,98,BR,1562307758,99,-22.65,-42.51,16.04,0.66
Great Falls,90,US,1562307759,72,47.5,-111.29,15,1.5
Ambilobe,54,MG,1562307760,54,-13.19,49.05,26.34,4.16
Ostrogozhsk,12,RU,1562307761,59,50.86,39.08,17.54,3.28
Kavieng,100,PG,1562307763,77,-2.57,150.8,26.44,1.33
Beisfjord,75,NO,1562307764,76,68.38,17.6,12,1
Montelimar,100,CR,1562307765,1,10.54,-84.57,21.67,12.07
San Policarpo,92,PH,1562307766,68,12.18,125.51,29.74,3.65
Hanmer Springs,100,NZ,1562307768,97,-42.52,172.83,-1.36,0.57
Imeni Poliny Osipenko,100,RU,1562307769,62,52.42,136.49,23.64,2.91
Puerto Leguizamo,43,CO,1562307770,97,-0.19,-74.78,21.14,0.7
Smithers,1,CA,1562307772,93,54.78,-127.17,13,2.1
Waverly,20,US,1562307773,94,37.04,-77.1,23.89,0.77
Swidwin,75,PL,1562307774,93,53.77,15.78,14.44,4.1
Juneau,75,US,1562307775,53,58.3,-134.42,22,5.16
Vittoria,0,IT,1562307777,34,36.95,14.53,28,1.5
Raudeberg,20,NO,1562307778,76,61.99,5.14,12.78,2.6
Severobaykalsk,23,RU,1562307779,31,55.65,109.32,20.34,2.73
Axim,100,GH,1562307780,90,4.87,-2.24,24.64,3.56
Oga,20,IT,1562307782,100,46.46,10.35,18.89,0.5
Matara,15,BI,1562307783,64,-3.48,29.48,14.54,0.74
Corn Island,75,NI,1562307784,78,12.17,-83.04,27.24,5.94
Bollnas,91,SE,1562307786,80,61.35,16.39,9.54,6.8
Cabedelo,75,BR,1562307787,93,-6.97,-34.84,23,1
Lata,91,IN,1562307788,94,30.78,78.62,9.74,3.22
Muli,100,CN,1562307789,77,28.08,109.56,26.84,1.04
Bafra,40,TR,1562307791,73,41.57,35.91,25,4.1
Pudozh,3,RU,1562307792,49,61.81,36.54,17.34,4.23
Deputatskiy,91,RU,1562307794,57,69.3,139.9,12.34,5.24
Channel-Port Aux Basques,12,CA,1562307795,82,47.57,-59.14,9.74,5.24
Flin Flon,0,CA,1562307796,85,54.77,-101.88,6.64,2.2
Muisne,72,EC,1562307797,86,0.61,-80.02,24.34,6.82
Clarence Town,40,AU,1562307799,63,-32.59,151.78,18,5.7
Susaki,75,JP,1562307800,74,33.42,133.28,27.22,4.6
Oktyabrskiy,0,RU,1562307801,59,55.61,37.97,16.11,4
Rorvik,75,NO,1562307802,93,64.86,11.24,10,3.1
Kysyl-Syr,96,RU,1562307804,66,63.9,122.77,15.14,1.46
Puerto Quijarro,95,BR,1562307805,93,-19,-57.72,12.14,4.38
Barra,0,GM,1562307806,88,13.49,-16.54,25,2.1
Vega De Alatorre,67,MX,1562307808,72,20.03,-96.65,22.54,1.95
Maltahohe,0,,1562307809,21,-24.83,16.98,4.24,1.87
Aitape,85,PG,1562307810,83,-3.15,142.36,26.94,3.03
Morehead,1,US,1562307812,83,38.18,-83.43,23.33,2.1
Mehamn,40,NO,1562307813,87,71.03,27.85,9,2.1
Albion,1,US,1562307814,83,41.69,-98,24.44,2.1
Wagar,19,US,1562307815,88,31.44,-87.99,26.11,0.04
Tautira,75,PF,1562307817,69,-17.73,-149.15,24,2.1
Gari,19,RU,1562307818,43,59.43,62.35,20.54,5.46
Hoquiam,90,US,1562307819,77,46.98,-123.89,16,2.6
Kuybyshevo,2,UA,1562307821,56,44.63,33.86,23.04,4.62
Mombetsu,75,JP,1562307822,93,44.35,143.35,15,1.5
Camabatela,54,AO,1562307823,70,-8.19,15.37,16.64,1.01
Boa Vista,40,BR,1562307824,83,2.82,-60.67,26,2.6
Skrunda,46,LV,1562307826,71,56.68,22.02,14,8.7
Sayyan,0,YE,1562307827,31,15.17,44.32,27.14,0.39
Gallup,1,US,1562307828,15,35.53,-108.74,18,3.6
Sobolevo,85,RU,1562307829,80,54.43,31.9,13.04,6.22
Watrous,53,CA,1562307831,79,51.67,-105.46,12.54,2
Broome,0,GB,1562307832,77,52.47,1.45,17.22,3.1
Oban,97,GB,1562307833,96,56.42,-5.47,12.78,1.01
Nyurba,100,RU,1562307835,85,63.29,118.35,17.34,2.4
Cahors,0,FR,1562307836,83,44.45,1.44,22.78,2.08
Jardim,100,BR,1562307837,84,-21.48,-56.15,11.74,2.52
Brusque,28,BR,1562307838,78,-27.1,-48.91,11.11,0.45
Grindavik,40,IS,1562307840,81,63.84,-22.43,9,8.7
Winter Garden,40,US,1562307841,88,28.57,-81.59,26.67,1.5
Kinablangan,94,PH,1562307842,77,7.69,126.55,27.14,1.98
Sergeyevka,17,KZ,1562307843,63,53.88,67.42,23.84,7.79
Rio Grande,0,BR,1562307845,78,-32.03,-52.1,3.04,3.91
Longview,40,US,1562307846,88,32.5,-94.74,26.11,2.6
Paonta Sahib,22,IN,1562307847,32,30.44,77.62,38.14,2.28
Maamba,0,ZM,1562307849,63,-17.36,27.22,16.24,1.26
Zastron,0,ZA,1562307850,38,-30.3,27.08,4.24,0.34
Bilma,78,NE,1562307852,27,18.69,12.92,33.74,3.29
Nichinan,75,JP,1562307853,73,31.65,131.31,25,1.5
Ulaangom,100,MN,1562307645,50,49.98,92.07,20.34,2.99
Nishihara,75,JP,1562307855,78,35.74,139.53,26.11,3.1
Ilulissat,98,GL,1562307857,61,69.22,-51.1,8,2.1
Lagunillas,8,VE,1562307858,67,8.5,-71.39,17.94,2.26
Sao Felix Do Xingu,45,BR,1562307859,89,-6.64,-51.99,20.64,0.4
Necochea,91,AR,1562307861,68,-38.55,-58.74,6.67,6.71
Turukhansk,73,RU,1562307862,36,65.8,87.96,28.84,4.19
Luwuk,99,ID,1562307863,88,-0.95,122.79,21.14,1.34
Lucapa,0,AO,1562307865,44,-8.42,20.74,17.24,2.16
Luderitz,0,,1562307866,76,-26.65,15.16,12,4.1
Kahului,1,US,1562307641,94,20.89,-156.47,25.56,4.1
Lleida,0,ES,1562307869,60,41.61,0.63,25.56,3.6
Mezen,77,RU,1562307870,64,65.85,44.24,20.74,2.73
Lagos,75,NG,1562307868,100,6.46,3.39,25,1
Glendive,1,US,1562307872,82,47.11,-104.71,16,2.1
Nevelsk,75,RU,1562307874,82,46.67,141.86,14,2
Bubaque,76,GW,1562307875,87,11.28,-15.83,26.54,4.9
Waipawa,90,NZ,1562307876,86,-39.94,176.59,5.56,2.24
Nanchong,78,CN,1562307877,64,30.8,106.08,28.24,0.88
Esmeraldas,0,BR,1562307879,55,-19.76,-44.31,18,1.5
Kishtwar,40,IN,1562307880,48,33.31,75.77,19.64,2.25
Tavrichanka,75,RU,1562307881,82,43.33,131.86,20,4
San Patricio,11,PY,1562307883,87,-26.98,-56.83,5.14,2.49
Parfino,92,RU,1562307884,67,57.97,31.65,13.64,4.9
Ajaccio,0,FR,1562307885,50,41.93,8.74,28,2.6
Burnie,91,AU,1562307616,84,-41.05,145.91,12.22,2.68
Marawi,93,PH,1562307888,84,8,124.29,27.78,0.89
Namatanai,97,PG,1562307889,78,-3.66,152.44,27.04,3.74
